Asset report 16/03/21,,
,,
,,
Post Code,Local Authority,Business area
CF24 3JT    ,Cardiff,Development
CF14 1TS    ,Cardiff,Development
CF5 3BQ     ,Cardiff,Development
CF72 9EU    ,RCT,Development
CF64 1DD    ,VOG         ,Development
CF11 6JN    ,Cardiff,Development
CF35 6TE    ,Bridgend         ,Development
CF46 6EE    ,Merthyr,Development
CF7 9TA     ,RCT,Development
CF48 1JA    ,Merthyr,Development
CF64 5FW    ,VOG         ,Development
CF14 3HN    ,Cardiff,Development
CF5 6FJ     ,VOG         ,Development
CF5 6FF     ,VOG         ,Development
CF3 4FF     ,Cardiff,Development
CF14 5BZ    ,Cardiff,Development
CF63 1RB    ,VOG         ,Development
CF62 7RL    ,VOG         ,Development
CF24 3BA    ,Cardiff,Development
CF64 1TH    ,VOG         ,Development
CF33 6BU    ,Bridgend         ,Development
CF37 2RH    ,RCT,Development
CF5 3PU     ,Cardiff,Development
CF62 5AU    ,VOG         ,Development
CF36 3DR    ,Bridgend         ,Development
CF33 6LA    ,Bridgend         ,Development
CF62 3EY    ,VOG         ,Development
CF11 6SW    ,Cardiff,Development
CF5 5HX     ,Cardiff,Development
CF24 3JL    ,Cardiff,Development
CF31 4PZ    ,Bridgend         ,Development
CF38 1LU    ,RCT,Development
CF64 1TB    ,VOG         ,Development
CF34 0LP    ,Bridgend         ,Development
CF14 2FP    ,Cardiff,Development
CF33 6NT    ,Bridgend         ,Development
CF64 1TJ    ,VOG         ,Development
CF23 7BB    ,Cardiff,Development
CF36 5TP    ,Bridgend         ,Development
CF14 2JG    ,Cardiff,Development
CF37 5AP    ,RCT,Development
CF37 4EN    ,RCT,Development
CF40 1QD    ,RCT,Development
CF48 4QX    ,RCT,Development
CF37 1HY    ,RCT,Development
CF45 4SP    ,RCT,Development
CF37 4RD    ,RCT,Development
CF43 3LP    ,RCT,Development
CF42 5SF    ,RCT,Development
CF44 8SE    ,RCT,Development
CF44 9NE    ,RCT,Development
CF42 6DA    ,RCT,Development
CF48 1JH    ,RCT,Development
CF44 7DG    ,RCT,Development
CF48 4HD    ,Merthyr,Development
CF38 2SY    ,RCT,Development
CF14 2JZ    ,Cardiff,Development
CF37 5NU    ,RCT,Development
CF37 5PQ    ,RCT,Development
CF40 2RN    ,RCT,Development
CF38 2RF    ,RCT,Development
CF44 8BA    ,RCT,Development
CF37 3ET    ,RCT,Development
CF39        ,RCT,Development
CF44 8LW    ,RCT,Development
CF40 1DW    ,RCT,Development
CF37 4NB    ,RCT,Development
CF39 8RL    ,RCT,Development
CF44 8AD    ,RCT,Development
CF44 6SB    ,RCT,Development
CF44 8TA    ,RCT,Development
CF40 2RJ    ,RCT,Development
CF63 2PJ    ,VOG         ,Development
CF47 0UW    ,Merthyr,Development
CF31 4TW    ,Bridgend         ,Development
CF37 4NR    ,RCT,Development
CF48 2DL    ,RCT,Development
CF37 1LF    ,RCT,Development
CF37        ,RCT,Development
CF37 1EP    ,RCT,Development
CF38 1HR    ,RCT,Development
CF31 5DY    ,Bridgend         ,Development
CF45 4UH    ,RCT,Development
CF43 3NA    ,RCT,Development
CF72 9TE    ,RCT,Development
CF37 4DW    ,RCT,Development
CF43 3ET    ,RCT,Development
CF37 5LE    ,RCT,Development
CF37 4HB    ,RCT,Development
CF37 2RD    ,RCT,Development
CF48 0DJ    ,RCT,Development
CF42 6HY    ,RCT,Development
CF48 4DE    ,RCT,Development
CF40 1EV    ,RCT,Development
CF47 9BX    ,RCT,Development
CF37 1LZ    ,RCT,Development
CF39 0PN    ,RCT,Development
CF37 4ND    ,RCT,Development
CF43 4HA    ,RCT,Development
CF15 7NA    ,RCT,Development
CF37 1JA    ,RCT,Development
CF39 9SE    ,RCT,Development
CF37 4RE    ,RCT,Development
CF45 4BA    ,RCT,Development
CF39 8BX    ,RCT,Development
CF39 8BT    ,RCT,Development
CF38 1UJ    ,RCT,Development
CF72 8DX    ,RCT,Development
CF40 2LH    ,RCT,Development
CF37 5NY    ,RCT,Development
CF72 9UD    ,RCT,Development
CF62 4JZ    ,VOG         ,Development
CF63 1DG    ,VOG         ,Development
CF62 9TH    ,VOG         ,Development
CF62 8JL    ,VOG         ,Development
CF63 4EG    ,VOG         ,Development
CF38 2TD    ,RCT,Housing
CF37 4HY    ,RCT,Housing
CF37 4PH    ,RCT,Housing
CF38 2ED    ,RCT,Housing
CF38 1UE    ,RCT,Housing
CF37 5NB    ,RCT,Housing
CF44 0PY    ,RCT,Support
CF24 2PG    ,Cardiff,Support
CF11 7AA    ,Cardiff,Support
CF31 3AR    ,Bridgend         ,Support
CF40 1DU    ,RCT,Support
CF10 1DU    ,RCT,Central
CF24 3JX    ,Cardiff,Support
CF14 5UW    ,Cardiff,Care - Gwynfa
CF63 2JB    ,VOG         ,Support
CF44 8HU    ,RCT,Support
CF37 4DD    ,RCT,Support
CF31 1HD    ,Bridgend         ,Support
CF24 1RN    ,Cardiff,Support
CF71 7PY    ,VOG         ,Support
CF5 1QL     ,Cardiff,Support
CF5 1FN     ,Cardiff,Support
CF24 2BY    ,Cardiff,Support
CF31 3AL    ,Bridgend         ,Support
CF34 0SB    ,Bridgend         ,Support
CF11 7LZ    ,Cardiff,Support
CF14 2FN    ,Cardiff,Support
CF32 9NB    ,Bridgend         ,Support
CF64 1JJ    ,VOG         ,Support
CF24 5PD    ,Cardiff,Central
CF33 6EJ    ,Bridgend         ,Housing
CF72 8FA    ,RCT,Housing
CF14 5BE    ,Cardiff,Support
CF72 8EE    ,RCT,Housing
CF61 1YA    ,VOG         ,Housing
CF14 2LJ    ,Cardiff,Support
CF72 9LB    ,RCT,Housing
CF72 9ZF    ,RCT,Housing
SA15 2DY    ,Carmarthen        ,Support
CF72 9FY    ,RCT,Housing
SA15 3BP    ,Carmarthen        ,Support
CF61 1AF    ,VOG         ,Housing
CF72 8FF    ,RCT,Support
CF72 9FL    ,RCT,Support
CF72 9FN    ,RCT,Housing
CF14 5PD    ,Cardiff,Housing
SA15 1SR    ,Carmarthen        ,Support
CF72 9RA    ,RCT,Housing
CF72 9LD    ,RCT,Housing
CF34 9ET    ,Bridgend         ,Housing
CF34 0NE    ,Bridgend         ,Housing
CF34 0NB    ,Bridgend         ,Housing
CF34 0NW    ,Bridgend         ,Housing
CF34 9UN    ,Bridgend         ,Housing
CF34 9AE    ,Bridgend         ,Housing
CF34 9PX    ,Bridgend         ,Housing
CF34 9YT    ,Bridgend         ,Housing
CF34 9YH    ,Bridgend         ,Housing
CF34 0AL    ,Bridgend         ,Housing
CF34 9EE    ,Bridgend         ,Support
CF34 0ST    ,Bridgend         ,Housing
CF34 9HA    ,Bridgend         ,Housing
CF34 9EU    ,Bridgend         ,Housing
CF34 9DS    ,Bridgend         ,Housing
CF34 0RU    ,Bridgend         ,Housing
CF48 3NF    ,Merthyr,Housing
CF48 2PE    ,Merthyr,Support
CF47 0AR    ,Merthyr,Housing
CF47 9AA    ,Merthyr,Support
CF47 0JL    ,Merthyr,Extra Care - Ty Cwm
CF47 0AA    ,Merthyr,Housing
CF32 9LF    ,Bridgend         ,Housing
CF72 9LQ    ,RCT,Housing
CF41 7JX    ,RCT,Housing
CF40 1PP    ,RCT,Housing
CF5 4EY     ,Cardiff,Housing
CF5 4EZ     ,Cardiff,Housing
CF14 1BX    ,Cardiff,Housing
CF31 2AT    ,Bridgend         ,Housing
CF3 4BX     ,Cardiff,Housing
CF3 4JH     ,Cardiff,Housing
CF3 4JJ     ,Cardiff,Housing
CF48 2HA    ,Merthyr,Housing
CF72 9HY    ,RCT,Housing
CF5 5DW     ,Cardiff,Housing
CF41 7TE    ,RCT,Housing
CF3 5HW     ,Cardiff,Housing
CF48 2EE    ,Merthyr,Housing
CF44 9TN    ,RCT,Housing
CF3 0LR     ,Cardiff,Housing
CF23 7JA    ,Cardiff,Housing
CF44 6LT    ,RCT,Housing
CF39 8HR    ,RCT,Housing
CF23 9PT    ,Cardiff,Housing
CF31 4DR    ,Bridgend         ,Housing
CF5 5HL     ,Cardiff,Housing
CF39 8TG    ,RCT,Housing
CF38 2TF    ,RCT,Housing
CF48 1YY    ,Merthyr,Housing
CF38 2RR    ,RCT,Housing
CF23 9EG    ,Cardiff,Housing
NP44 4QP    ,Torfaen,Housing
CF3 0EP     ,Cardiff,Housing
CF5 5DA     ,Cardiff,Housing
CF35 5NG    ,Bridgend         ,Housing
CF32 9PE    ,Bridgend         ,Housing
CF5 2PS     ,Cardiff,Housing
CF3 5TP     ,Cardiff,Housing
CF47 0YF    ,Merthyr,Development
CF3 4HJ     ,Cardiff,Housing
CF37 1SG    ,RCT,Housing
CF46 5AY    ,Merthyr,Housing
CF63 4NJ    ,VOG         ,Housing
CF46 6AD    ,Merthyr,Housing
CF48 3SG    ,Merthyr,Housing
CF35 5ET    ,Bridgend         ,Housing
CF45 3LR    ,RCT,Housing
CF3 1TF     ,Cardiff,Housing
CF31 1NN    ,Bridgend         ,Housing
CF47 9RE    ,Merthyr,Housing
CF38 2AU    ,RCT,Housing
CF3 1QA     ,Cardiff,Housing
CF23 7AQ    ,Cardiff,Housing
CF38 2LP    ,RCT,Housing
CF40 1HE    ,RCT,Housing
CF3 1ST     ,Cardiff,Housing
CF35 6PP    ,Bridgend         ,Housing
CF39 9EU    ,RCT,Housing
CF31 4ED    ,Bridgend         ,Housing
CF35 5PJ    ,Bridgend         ,Housing
CF37 5DA    ,RCT,Housing
CF61 2SA    ,VOG         ,Housing
CF39 8UP    ,RCT,Housing
CF5 5QB     ,Cardiff,Housing
CF5 5QA     ,Cardiff,Housing
CF37 2SA    ,RCT,Housing
CF5 3BS     ,Cardiff,Housing
CF41 7BU    ,RCT,Housing
CF33 4BG    ,Bridgend         ,Housing
CF10 5JD    ,Cardiff,Housing
CF14 2QZ    ,Cardiff,Housing
CF3 4AW     ,Cardiff,Housing
CF3 3NE     ,Cardiff,Development
CF37 4PW    ,RCT,Housing
CF31 4JG    ,Bridgend         ,Housing
NP19 4NA    ,Newport,Housing
CF5 2EW     ,Cardiff,Housing
CF14 3EA    ,Cardiff,Housing
CF14 5BY    ,Cardiff,Housing
CF34 0TA    ,Bridgend         ,Housing
CF39 8UG    ,RCT,Housing
CF5 3SW     ,Cardiff,Housing
CF15 7ST    ,RCT,Housing
CF23 7EW    ,Cardiff,Housing
CF47 9DY    ,Merthyr,Housing
CF47 9EA    ,Merthyr,Housing
CF39 8AS    ,RCT,Housing
CF47 9YY    ,Merthyr,Housing
CF23 9LR    ,Cardiff,Housing
CF5 3HZ     ,Cardiff,Housing
CF37 5EA    ,RCT,Housing
CF23 7DG    ,Cardiff,Housing
CF5 5LP     ,Cardiff,Housing
CF33 6ET    ,Bridgend         ,Housing
CF34 9YR    ,Bridgend         ,Housing
CF45 3LP    ,RCT,Housing
CF3 0EA     ,Cardiff,Housing
CF72 9HE    ,RCT,Housing
CF31 4RY    ,Bridgend         ,Housing
CF47 9AU    ,Merthyr,Housing
CF5 4GN     ,Cardiff,Housing
CF48 3PU    ,Merthyr,Housing
CF39 8TU    ,RCT,Housing
CF5 5DL     ,Cardiff,Housing
CF44 6HE    ,RCT,Housing
CF72 9RX    ,RCT,Housing
CF37 2LR    ,RCT,Housing
CF11 6PJ    ,Cardiff,Housing
CF39 8DA    ,RCT,Housing
CF24 3HB    ,Cardiff,Housing
CF47 9PX    ,Merthyr,Housing
NP44 5UN    ,Torfaen,Housing
CF3 0PU     ,Cardiff,Housing
CF44 0RU    ,RCT,Housing
CF31 4XA    ,Bridgend         ,Housing
CF24 2RL    ,Cardiff,Housing
CF3 0JG     ,Cardiff,Housing
CF39 8NW    ,RCT,Housing
CF37 4HA    ,RCT,Housing
CF44 0PD    ,RCT,Housing
CF3 0NP     ,Cardiff,Housing
CF3 0AU     ,Cardiff,Housing
CF3 0HY     ,Cardiff,Housing
CF3 0DY     ,Cardiff,Housing
CF3 0AX     ,Cardiff,Housing
CF3 0DZ     ,Cardiff,Housing
CF3 0HX     ,Cardiff,Housing
CF3 0AW     ,Cardiff,Housing
CF3 0AR     ,Cardiff,Housing
CF3 0JZ     ,Cardiff,Housing
CF3 0DX     ,Cardiff,Housing
CF3 0JW     ,Cardiff,Housing
CF3 0JY     ,Cardiff,Housing
CF3 0JX     ,Cardiff,Housing
CF3 0NQ     ,Cardiff,Housing
CF3 0HZ     ,Cardiff,Housing
CF3 0NR     ,Cardiff,Housing
CF3 0NJ     ,Cardiff,Housing
CF3 0JU     ,Cardiff,Housing
CF34 0SE    ,Bridgend         ,Housing
CF34 0AF    ,Bridgend         ,Housing
NP20 4JH    ,Newport,Development
CF5 6ES     ,Cardiff,Central
CF14 7BE    ,Cardiff,Support
CF64 2RB    ,VOG         ,Housing
CF64 2LE    ,VOG         ,Housing
CF64 3QS    ,VOG         ,Housing
CF64 3NN    ,VOG         ,Housing
CF64 2RH    ,VOG         ,Housing
CF64 2QJ    ,VOG         ,Housing
CF64 3FY    ,VOG         ,Support
CF64 3LU    ,VOG         ,Housing
CF35 6SY    ,Bridgend         ,Housing
CF64 3PP    ,VOG         ,Housing
CF64 1SW    ,VOG         ,Housing
CF64 3NA    ,VOG         ,Housing
CF64 2RW    ,VOG         ,Housing
CF64 3NU    ,VOG         ,Housing
CF64 3PU    ,VOG         ,Housing
CF64 3PR    ,VOG         ,Housing
CF64 2RY    ,VOG         ,Housing
CF64 2SA    ,VOG         ,Housing
CF64 2TN    ,VOG         ,Housing
CF64 2TS    ,VOG         ,Housing
CF36 3RT    ,Bridgend         ,Care - Picton Court
CF36 5DH    ,Bridgend         ,Support
CF15 8AP    ,Cardiff,Development
CF45 4FG    ,RCT,Housing
CF38 2PD    ,RCT,Housing
CF40 2AU    ,RCT,Housing
CF37 5LD    ,RCT,Housing
CF40 1EZ    ,RCT,Housing
CF39 8LW    ,RCT,Housing
CF72 8FH    ,RCT,Extra Care - Ty Heulog
CF72  8FH   ,RCT,Housing
CF37 1EQ    ,RCT,Development
CF37 1HP    ,RCT,Housing
CF37 2RF    ,RCT,Housing
CF44 0NW    ,RCT,Housing
CF37 4TG    ,RCT,Housing
CF37 5PS    ,RCT,Housing
CF44 7PS    ,RCT,Housing
CF40 2TE    ,RCT,Housing
CF37 2NW    ,RCT,Housing
CF40 2BD    ,RCT,Central
CF37 3DU    ,RCT,Housing
CF38 1RR    ,RCT,Housing
CF72 9PU    ,RCT,Housing
CF44 8LD    ,RCT,Housing
CF44 6HF    ,RCT,Housing
CF44 8LF    ,RCT,Housing
CF44 0YL    ,RCT,Housing
CF44 8LE    ,RCT,Housing
CF37 1HR    ,RCT,Housing
CF38 2BW    ,RCT,Housing
CF37 1RG    ,RCT,Housing
CF47 0PF    ,Merthyr,Central
CF47 8TP    ,Merthyr,Housing
CF14 5YN  ,Cardiff,Care - St Isan
CF37 5EQ    ,RCT,Housing
CF37 5DX    ,RCT,Housing
CF37 5DQ    ,RCT,Housing
CF62 3BU    ,VOG         ,Housing
CF62 3DL    ,VOG         ,Housing
CF62 3FA    ,VOG         ,Housing
CF37 5EN    ,RCT,Housing
CF3 3JF     ,Cardiff,Housing
CF3 3JB     ,Cardiff,Housing
CF3 3NZ     ,Cardiff,Housing
CF24 3RW    ,Cardiff,Housing
CF3 4AU     ,Cardiff,Housing
CF72 9WU    ,RCT,Housing
CF72 9FP    ,RCT,Housing
CF72 9FR    ,RCT,Housing
CF35 6RD    ,Bridgend         ,Development
CF14 9HR    ,Cardiff,Housing
CF5 2QX     ,Cardiff,Housing
CF3 0DU     ,Cardiff,Housing
CF14 9EW    ,Cardiff,Housing
CF61 1YJ    ,VOG         ,Housing
CF5 2SL     ,Cardiff,Housing
CF31 2BN    ,Bridgend         ,Housing
CF3 0PF     ,Cardiff,Housing
CF3 0PG     ,Cardiff,Development
CF62 4PD    ,VOG         ,Support
CF62 4LF    ,VOG         ,Housing
SA33 4AA    ,Carmarthen        ,Support
CF3 0LY     ,Cardiff,Housing
CF3 5RF     ,Cardiff,Housing
CF3 5RD     ,Cardiff,Housing
CF3  0HO    ,Cardiff,Central
CF15 7PE    ,RCT,Housing
CF15 7QS    ,RCT,Housing
CF38 1PX    ,RCT,Housing
CF15 9TP    ,Cardiff,Housing
CF39 8LT    ,RCT,Housing
CF39 8PX    ,RCT,Support
CF39 8PY    ,RCT,Housing
CF39 8PZ    ,RCT,Housing
CF39 8JS    ,RCT,Housing
CF39 8DU    ,RCT,Housing
CF39 8QB    ,RCT,Housing
CF39 8PN    ,RCT,Housing
NP4 9PP     ,Torfaen,Care - Arthur Jenkins
NP44 1AP    ,Torfaen,Care - Cwmbran House
NP44 4TX    ,Torfaen,Care - Ty Gwyn
NP4 8DB     ,Torfaen,Care - Plas Y Garn
CF46 5BW    ,Merthyr,Central
CF46 6EG    ,Merthyr,Housing
CF42 5LE    ,RCT,Support
CF62 4PY    ,VOG         ,Development
CF63 2JR    ,VOG         ,Housing
CF24 4LG    ,VOG         ,Housing
CF24 2LG    ,VOG         ,Housing
CF63 1JY    ,VOG         ,Housing
CF71 7RR    ,VOG         ,Housing
CF62 9DJ    ,VOG         ,Housing
CF63 4HS    ,VOG         ,Housing
CF63 4HA    ,VOG         ,Housing
CF62 9BX    ,VOG         ,Housing
CF63 3NT    ,VOG         ,Housing
CF62 8EX    ,VOG         ,Housing
CF64 5RY    ,VOG         ,Housing
CF62 8EB    ,VOG         ,Housing
CF14 7AT    ,Cardiff,Housing
CF14 7AW    ,Cardiff,Development
CF14 7AY    ,Cardiff,Development
CF14 7AX    ,Cardiff,Housing
CF14 7BA    ,Cardiff,Housing
CF14 7AU    ,Cardiff,Development
CF14 7AZ    ,Cardiff,Development
CF31 5BZ    ,Bridgend         ,Housing
CF32 9GD    ,Bridgend         ,Housing
CF63 2RB    ,VOG         ,Housing
CF3 4JG     ,Cardiff,Housing
CF3 4JF     ,Cardiff,Housing
CF3 4BD     ,Cardiff,Housing
CF5 3SN     ,Cardiff,Housing
CF3 5TS     ,Cardiff,Housing
CF31 5DL    ,Bridgend         ,Housing
CF23 7JN    ,Cardiff,Housing
CF3 0LN     ,Cardiff,Housing
CF3 0GB     ,Cardiff,Housing
CF23 7JF    ,Cardiff,Housing
CF24 3ED    ,Cardiff,Housing
CF31 2DR    ,Bridgend         ,Housing
CF3 3PW     ,Cardiff,Housing
CF31 4QT    ,Bridgend         ,Housing
CF3 1NR     ,Cardiff,Housing
CF31 2HX    ,Bridgend         ,Housing
CF34 9DQ    ,Bridgend         ,Housing
CF31 4PG    ,Bridgend         ,Housing
CF3 0PZ     ,Cardiff,Housing
CF63 1FQ    ,VOG         ,Housing
CF3 6YA     ,Cardiff,Housing
CF3 6YN     ,Cardiff,Housing
CF33 4PQ    ,Bridgend         ,Housing
CF31 5FS    ,Bridgend         ,Housing
CF48 4SG    ,Merthyr,Housing
CF31 5FW    ,Bridgend         ,Housing
CF5 5QR     ,Cardiff,Housing
CF24 2SF    ,Cardiff,Housing
CF45 4FH    ,RCT,Housing
CF32 9JJ    ,Bridgend         ,Housing
CF24 2TN    ,Cardiff,Housing
CF3 5DL     ,Cardiff,Housing
CF5 3JA     ,Cardiff,Housing
CF62 5DX    ,VOG         ,Housing
CF72 9FT    ,RCT,Housing
CF5 5AB     ,Cardiff,Housing
CF63 4PF    ,VOG         ,Housing
CF62 8JE    ,VOG         ,Housing
CF31 2DJ    ,Bridgend         ,Housing
CF5 4GA     ,Cardiff,Housing
CF3 0AA     ,Cardiff,Housing
CF32 9HG    ,Bridgend         ,Housing
CF62 9HH    ,VOG         ,Housing
CF3 0DE     ,Cardiff,Housing
CF38 1UQ    ,RCT,Housing
CF31 1LG    ,Bridgend         ,Housing
CF32 9DQ    ,Bridgend         ,Housing
CF5 4RE     ,Cardiff,Housing
CF63 2PL    ,VOG         ,Housing
CF63 2PN    ,VOG         ,Housing
CF3 3PP     ,Cardiff,Housing
CF38 1UN    ,RCT,Housing
CF5 6XL     ,Cardiff,Housing
CF5 6GD     ,Cardiff,Housing
CF32 9GL    ,Bridgend         ,Housing
CF32 9DT    ,Bridgend         ,Housing
CF32 9DU    ,Bridgend         ,Housing
CF3 0QA     ,Cardiff,Housing
CF62 7FL    ,VOG         ,Housing
CF3 1QU     ,Cardiff,Housing
CF32 9GG    ,Bridgend         ,Housing
CF3 0DP     ,Cardiff,Housing
CF3 0DQ     ,Cardiff,Housing
CF3 0DT     ,Cardiff,Housing
CF61 2ZA    ,VOG         ,Housing
CF32 9US    ,Bridgend         ,Housing
CF3 0RN     ,Cardiff,Housing
CF5 4UR     ,Cardiff,Housing
CF63 2FJ    ,VOG         ,Housing
CF63 2HB    ,VOG         ,Housing
CF35 6DE    ,Bridgend         ,Housing
CF31 3BH    ,Bridgend         ,Housing
CF5 5QF     ,Cardiff,Housing
CF62 9EA    ,VOG         ,Housing
CF62 3LS    ,VOG         ,Housing
CF32 9EZ    ,Bridgend         ,Housing
CF32 9GF    ,Bridgend         ,Housing
CF32 9NT    ,Bridgend         ,Housing
CF62 5AY    ,VOG         ,Housing
CF44 6SU    ,RCT,Housing
CF32 9PT    ,Bridgend         ,Housing
CF32 9NA    ,Bridgend         ,Housing
CF5 4LW     ,Cardiff,Housing
CF3 0RD     ,Cardiff,Housing
CF63 1ER    ,VOG         ,Housing
CF24 0HX    ,Cardiff,Housing
CF14 6BE    ,Cardiff,Housing
CF62 9HF    ,VOG         ,Housing
CF38 2JS    ,RCT,Housing
CF45 4AZ    ,RCT,Housing
CF31 5DX    ,Bridgend         ,Housing
CF39 8HZ    ,RCT,Housing
CF5 5NR     ,Cardiff,Housing
CF31 5AQ    ,Bridgend         ,Housing
CF3 0NB     ,Cardiff,Housing
CF31 5FJ    ,Bridgend         ,Housing
CF61 2YW    ,VOG         ,Housing
CF62 9FT    ,VOG         ,Housing
CF62 5AW    ,VOG         ,Housing
CF62 8NS    ,VOG         ,Housing
CF63 4PG    ,VOG         ,Housing
CF32 9LQ    ,Bridgend         ,Housing
CF31 1DF    ,Bridgend         ,Housing
CF33 4AD    ,Bridgend         ,Housing
CF3 3HN     ,Cardiff,Housing
CF5 4AF     ,Cardiff,Housing
CF31 2BX    ,Bridgend         ,Housing
CF62 3HS    ,VOG         ,Housing
CF63 1FJ    ,VOG         ,Housing
CF31 2BW    ,Bridgend         ,Housing
CF33 6GA    ,Bridgend         ,Housing
CF63 4JN    ,VOG         ,Housing
CF23 8PZ    ,Cardiff,Housing
CF63 1DX    ,VOG         ,Housing
CF3 1SR     ,Cardiff,Housing
CF33 6EZ    ,Bridgend         ,Housing
CF3 1SQ     ,Cardiff,Housing
CF31 2SS    ,Bridgend         ,Housing
CF31 5AP    ,Bridgend         ,Housing
CF32 9PQ    ,Bridgend         ,Housing
CF32 9NQ    ,Bridgend         ,Housing
CF5 4PL     ,Cardiff,Housing
CF31 2PN    ,Bridgend         ,Housing
CF48 1SX    ,Merthyr,Housing
CF23 8QA    ,Cardiff,Housing
CF3 6AQ     ,Cardiff,Housing
CF3 0BF     ,Cardiff,Housing
CF3 0BY     ,Cardiff,Housing
CF5 4QU     ,Cardiff,Housing
CF63 2AJ    ,VOG         ,Housing
CF48 1AQ    ,Merthyr,Housing
CF62 8JF    ,VOG         ,Housing
CF31 4AT    ,Bridgend         ,Housing
CF31 4DY    ,Bridgend         ,Housing
CF5 4QS     ,Cardiff,Housing
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
