Asset report 16/03/21,,
,,
,,
Post Code,Local Authority,Business area
CF31 4EA    ,Bridgend         ,Housing
CF31 2DE    ,Bridgend         ,Housing
CF31 2DG    ,Bridgend         ,Housing
CF35 6UJ    ,Bridgend         ,Housing
CF35 6US    ,Bridgend         ,Housing
CF35 6UQ    ,Bridgend         ,Housing
CF33 6JD    ,Bridgend         ,Housing
CF31 4EU    ,Bridgend         ,Housing
CF35 6UH    ,Bridgend         ,Housing
CF31 3PF    ,Bridgend         ,Housing
CF31 1LT    ,Bridgend         ,Housing
CF32 0BL    ,Bridgend         ,Housing
CF31 5EE    ,Bridgend         ,Development
CF31 5EB    ,Bridgend         ,Development
CF31 4EX    ,Bridgend         ,Housing
CF32 8SU    ,Bridgend         ,Support
CF32 9PF    ,Bridgend         ,Housing
CF31 4QF    ,Bridgend         ,Housing
CF35 6BX    ,Bridgend         ,Housing
CF31 1SY    ,Bridgend         ,Housing
CF32 9HB    ,Bridgend         ,Housing
CF31 3BJ    ,Bridgend         ,Support
CF31 5FB    ,Bridgend         ,Housing
CF32 9HQ    ,Bridgend         ,Housing
CF31 4FB    ,Bridgend         ,Housing
CF36 5BN    ,Bridgend         ,Housing
CF31 1HX    ,Bridgend         ,Central
CF32 9HH    ,Bridgend         ,Housing
CF31 5EA    ,Bridgend         ,Development
CF31 5ED    ,Bridgend         ,Development
CF31 1QW    ,Bridgend         ,Housing
CF35 6RH    ,Bridgend         ,Housing
CF31 1JU    ,Bridgend         ,Housing
CF31 2PJ    ,Bridgend         ,Housing
CF31 5GA    ,Bridgend         ,Support
CF31 1HR    ,Bridgend         ,Housing
CF31 4PL    ,Bridgend         ,Housing
CF31 4AF    ,Bridgend         ,Housing
CF31 5AW    ,Bridgend         ,Housing
CF31 4FA    ,Bridgend         ,Housing
CF35 6SZ    ,Bridgend         ,Housing
CF32 9HP    ,Bridgend         ,Housing
CF31 4RJ    ,Bridgend         ,Support
CF35 6SH    ,Bridgend         ,Housing
CF72 9TG    ,RCT,Housing
CF72 9TH    ,RCT,Housing
CF72 9TJ    ,RCT,Housing
CF35 5FF    ,Bridgend         ,Support
CF35 5FE    ,Bridgend         ,Support
CF35 5FD    ,Bridgend         ,Support
CF35 5FB    ,Bridgend         ,Development
